",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"1634,""64_C2_T0+6M"",""C31.9"",""22"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1635,""64_C2_T0+6M"",""C31a"",""27"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1636,""64_C2_T0+6M"",""C31c"",""12"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1637,""64_C2_T0+6M"",""C31d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1638,""64_C2_T0+6M"",""C3d"",""208"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1639,""64_C2_T0+6M"",""D1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1640,""64_C2_T0+6M"",""D1.6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1641,""64_C2_T0+6M"",""D10"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1642,""64_C2_T0+6M"",""D11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1643,""64_C2_T0+6M"",""D17"",""35"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1644,""64_C2_T0+6M"",""D1a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1645,""64_C2_T0+6M"",""D2.2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1646,""64_C2_T0+6M"",""D3"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1647,""64_C2_T0+6M"",""D4"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1648,""64_C2_T0+6M"",""D5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1649,""64_C2_T0+6M"",""D6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1650,""64_C2_T0+6M"",""D9"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"1651,""64_C3_T0+1.5Y"",""C161"",""28"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1652,""64_C3_T0+1.5Y"",""C163b"",""22"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1653,""64_C3_T0+1.5Y"",""C17"",""33"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1654,""64_C3_T0+1.5Y"",""C17.2"",""295"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1655,""64_C3_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1656,""64_C3_T0+1.5Y"",""C21"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1657,""64_C3_T0+1.5Y"",""C21.11"",""3"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1658,""64_C3_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1659,""64_C3_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1660,""64_C3_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1661,""64_C3_T0+1.5Y"",""C2r"",""352"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1662,""64_C3_T0+1.5Y"",""C31"",""92"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1663,""64_C3_T0+1.5Y"",""C31.1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1664,""64_C3_T0+1.5Y"",""C31.10"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1665,""64_C3_T0+1.5Y"",""C31.5"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1666,""64_C3_T0+1.5Y"",""C31.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1667,""64_C3_T0+1.5Y"",""C31.9"",""1"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1668,""64_C3_T0+1.5Y"",""C31a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1669,""64_C3_T0+1.5Y"",""C31c"",""1"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1670,""64_C3_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1671,""64_C3_T0+1.5Y"",""C3d"",""165"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1672,""64_C3_T0+1.5Y"",""D1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1673,""64_C3_T0+1.5Y"",""D1.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1674,""64_C3_T0+1.5Y"",""D10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1675,""64_C3_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1676,""64_C3_T0+1.5Y"",""D17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1677,""64_C3_T0+1.5Y"",""D1a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1678,""64_C3_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1679,""64_C3_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1680,""64_C3_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1681,""64_C3_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1682,""64_C3_T0+1.5Y"",""D6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1683,""64_C3_T0+1.5Y"",""D9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"1684,""64_S1_T0+1.5Y"",""C161"",""18"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1685,""64_S1_T0+1.5Y"",""C163b"",""7"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1686,""64_S1_T0+1.5Y"",""C17"",""118"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1687,""64_S1_T0+1.5Y"",""C17.2"",""590"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1688,""64_S1_T0+1.5Y"",""C17a"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1689,""64_S1_T0+1.5Y"",""C21"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1690,""64_S1_T0+1.5Y"",""C21.11"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1691,""64_S1_T0+1.5Y"",""C21.14"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1692,""64_S1_T0+1.5Y"",""C26.b1"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1693,""64_S1_T0+1.5Y"",""C26.b2"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1694,""64_S1_T0+1.5Y"",""C2r"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1695,""64_S1_T0+1.5Y"",""C31"",""82"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1696,""64_S1_T0+1.5Y"",""C31.1"",""69"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1697,""64_S1_T0+1.5Y"",""C31.10"",""5"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1698,""64_S1_T0+1.5Y"",""C31.5"",""7"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1699,""64_S1_T0+1.5Y"",""C31.6"",""4"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1700,""64_S1_T0+1.5Y"",""C31.9"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1701,""64_S1_T0+1.5Y"",""C31a"",""92"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1702,""64_S1_T0+1.5Y"",""C31c"",""8"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1703,""64_S1_T0+1.5Y"",""C31d"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1704,""64_S1_T0+1.5Y"",""C3d"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1705,""64_S1_T0+1.5Y"",""D1"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1706,""64_S1_T0+1.5Y"",""D1.6"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1707,""64_S1_T0+1.5Y"",""D10"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1708,""64_S1_T0+1.5Y"",""D11"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1709,""64_S1_T0+1.5Y"",""D17"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1710,""64_S1_T0+1.5Y"",""D1a"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1711,""64_S1_T0+1.5Y"",""D2.2"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1712,""64_S1_T0+1.5Y"",""D3"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1713,""64_S1_T0+1.5Y"",""D4"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1714,""64_S1_T0+1.5Y"",""D5"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1715,""64_S1_T0+1.5Y"",""D6"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1716,""64_S1_T0+1.5Y"",""D9"",""0"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1717,""64_S1_T0+6M"",""C161"",""40"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1718,""64_S1_T0+6M"",""C163b"",""33"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1719,""64_S1_T0+6M"",""C17"",""86"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1720,""64_S1_T0+6M"",""C17.2"",""98"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1721,""64_S1_T0+6M"",""C17a"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1722,""64_S1_T0+6M"",""C21"",""11"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1723,""64_S1_T0+6M"",""C21.11"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1724,""64_S1_T0+6M"",""C21.14"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1725,""64_S1_T0+6M"",""C26.b1"",""18"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1726,""64_S1_T0+6M"",""C26.b2"",""10"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1727,""64_S1_T0+6M"",""C2r"",""13"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1728,""64_S1_T0+6M"",""C31"",""343"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1729,""64_S1_T0+6M"",""C31.1"",""79"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1730,""64_S1_T0+6M"",""C31.10"",""43"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1731,""64_S1_T0+6M"",""C31.5"",""14"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1732,""64_S1_T0+6M"",""C31.6"",""74"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1733,""64_S1_T0+6M"",""C31.9"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1734,""64_S1_T0+6M"",""C31a"",""60"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1735,""64_S1_T0+6M"",""C31c"",""70"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1736,""64_S1_T0+6M"",""C31d"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1737,""64_S1_T0+6M"",""C3d"",""8"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1738,""64_S1_T0+6M"",""D1"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1739,""64_S1_T0+6M"",""D1.6"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1740,""64_S1_T0+6M"",""D10"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1741,""64_S1_T0+6M"",""D11"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1742,""64_S1_T0+6M"",""D17"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1743,""64_S1_T0+6M"",""D1a"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1744,""64_S1_T0+6M"",""D2.2"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1745,""64_S1_T0+6M"",""D3"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1746,""64_S1_T0+6M"",""D4"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1747,""64_S1_T0+6M"",""D5"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1748,""64_S1_T0+6M"",""D6"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1749,""64_S1_T0+6M"",""D9"",""0"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"""
"1750,""64_S2_T0-18h"",""C161"",""74"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1751,""64_S2_T0-18h"",""C163b"",""56"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1752,""64_S2_T0-18h"",""C17"",""71"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1753,""64_S2_T0-18h"",""C17.2"",""146"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1754,""64_S2_T0-18h"",""C17a"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1755,""64_S2_T0-18h"",""C21"",""25"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1756,""64_S2_T0-18h"",""C21.11"",""19"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1757,""64_S2_T0-18h"",""C21.14"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1758,""64_S2_T0-18h"",""C26.b1"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1759,""64_S2_T0-18h"",""C26.b2"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1760,""64_S2_T0-18h"",""C2r"",""57"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1761,""64_S2_T0-18h"",""C31"",""313"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1762,""64_S2_T0-18h"",""C31.1"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1763,""64_S2_T0-18h"",""C31.10"",""50"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1764,""64_S2_T0-18h"",""C31.5"",""20"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1765,""64_S2_T0-18h"",""C31.6"",""19"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1766,""64_S2_T0-18h"",""C31.9"",""29"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1767,""64_S2_T0-18h"",""C31a"",""32"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1768,""64_S2_T0-18h"",""C31c"",""37"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1769,""64_S2_T0-18h"",""C31d"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1770,""64_S2_T0-18h"",""C3d"",""18"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1771,""64_S2_T0-18h"",""D1"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1772,""64_S2_T0-18h"",""D1.6"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1773,""64_S2_T0-18h"",""D10"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1774,""64_S2_T0-18h"",""D11"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1775,""64_S2_T0-18h"",""D17"",""34"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1776,""64_S2_T0-18h"",""D1a"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1777,""64_S2_T0-18h"",""D2.2"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1778,""64_S2_T0-18h"",""D3"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1779,""64_S2_T0-18h"",""D4"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1780,""64_S2_T0-18h"",""D5"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1781,""64_S2_T0-18h"",""D6"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1782,""64_S2_T0-18h"",""D9"",""0"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"""
"1783,""64_S2_T0+1.5Y"",""C161"",""17"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
"1784,""64_S2_T0+1.5Y"",""C163b"",""10"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"""
