",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"78,""19_C1_T0+6M"",""C31"",""242"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"79,""19_C1_T0+6M"",""C31.1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"80,""19_C1_T0+6M"",""C31.10"",""37"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"81,""19_C1_T0+6M"",""C31.5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"82,""19_C1_T0+6M"",""C31.6"",""58"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"83,""19_C1_T0+6M"",""C31.9"",""10"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"84,""19_C1_T0+6M"",""C31a"",""54"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"85,""19_C1_T0+6M"",""C31c"",""46"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"86,""19_C1_T0+6M"",""C31d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"87,""19_C1_T0+6M"",""C3d"",""19"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"88,""19_C1_T0+6M"",""D1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"89,""19_C1_T0+6M"",""D1.6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"90,""19_C1_T0+6M"",""D10"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
