",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"24,""60_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""107"",""8"",""110"",""0"",""462"",""53"",""56"",""14"",""9"",""50"",""87"",""44"""
"25,""60_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"",""0"",""0"",""0"",""27"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""7"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""124"",""15"",""133"",""0"",""448"",""80"",""0"",""0"",""0"",""0"",""88"",""78"""
"26,""60_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"",""0"",""0"",""0"",""72"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""118"",""6"",""30"",""0"",""386"",""154"",""26"",""10"",""0"",""16"",""134"",""48"""
"27,""60_C2_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"",""0"",""0"",""0"",""30"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""4"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""130"",""12"",""122"",""0"",""423"",""50"",""55"",""0"",""0"",""0"",""98"",""76"""
"28,""60_C2_T0+6M"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"",""3"",""0"",""0"",""71"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""13"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""124"",""10"",""122"",""0"",""435"",""20"",""48"",""0"",""0"",""37"",""74"",""43"""
"29,""60_C3_T0+1.5Y"",""C"",""t0+1.5Y"",1,""Control_t0+18m"",""G60"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""D"",""0"",""0"",""0"",""52"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""6"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""238"",""0"",""0"",""0"",""439"",""56"",""61"",""0"",""0"",""0"",""83"",""65"""
"30,""60_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G60"",""S1"",""Winter"",""t0_shade"",""pcr1"",""D"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""134"",""6"",""144"",""0"",""453"",""40"",""46"",""0"",""0"",""55"",""79"",""43"""
"31,""60_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G60"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""D"",""0"",""0"",""0"",""25"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""8"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""120"",""15"",""127"",""0"",""467"",""79"",""0"",""0"",""0"",""0"",""85"",""74"""
"32,""60_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G60"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""D"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""119"",""7"",""44"",""0"",""436"",""174"",""17"",""9"",""0"",""12"",""138"",""44"""
"33,""60_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G60"",""S2"",""Winter"",""t0_shade"",""pcr2"",""D"",""40"",""0"",""0"",""66"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""64"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""48"",""14"",""12"",""0"",""470"",""136"",""13"",""0"",""0"",""8"",""110"",""19"""
